,property_type,land_size_bin,yr,count,mean,std,min,25%,50%,75%,max
80,house,0,2019,165.0,1431204.2424242424,397081.9746035607,745000.0,1170000.0,1374000.0,1621000.0,3557000.0
81,house,0,2020,183.0,1567394.262295082,885829.153790904,765000.0,1260000.0,1400000.0,1642500.0,10350000.0
82,house,0,2021,287.0,1867002.4703832753,828743.3176893811,182000.0,1442500.0,1700000.0,2110000.0,8400000.0
83,house,0,2022,100.0,1896603.0,795710.4704722641,590000.0,1461250.0,1722500.0,2212500.0,5500000.0
84,house,200,2005,1.0,628000.0,,628000.0,628000.0,628000.0,628000.0,628000.0
85,house,200,2006,2.0,416000.0,132936.07486307094,322000.0,369000.0,416000.0,463000.0,510000.0
86,house,200,2007,11.0,759181.8181818182,231592.235699653,570000.0,637500.0,712000.0,761000.0,1410000.0
87,house,200,2008,23.0,780521.7391304348,304510.35503593413,488000.0,624250.0,695000.0,825000.0,1900000.0
88,house,200,2009,81.0,843948.8518518518,311989.5776673121,807.0,675000.0,800000.0,940000.0,1850000.0
89,house,200,2010,68.0,1094117.6470588236,426598.51373714284,390000.0,852125.0,972500.0,1257500.0,3125000.0
90,house,200,2011,105.0,1012526.1904761905,346987.6028665005,400000.0,796000.0,915000.0,1180000.0,2275000.0
91,house,200,2012,120.0,940879.1666666666,344465.7353636728,388500.0,750000.0,862500.0,1075000.0,2160000.0
92,house,200,2013,156.0,1107408.1153846155,818733.5548766726,342000.0,833750.0,1022500.0,1259166.0,10370000.0
93,house,200,2014,277.0,1146066.263537906,486397.96357121365,330500.0,880000.0,1080000.0,1320000.0,5000000.0
94,house,200,2015,376.0,1234983.9095744682,454289.9040338387,500000.0,860000.0,1230000.0,1476250.0,3210000.0
95,house,200,2016,366.0,1262483.3551912569,489923.10627742956,345000.0,880000.0,1210000.0,1500000.0,3490000.0
96,house,200,2017,459.0,1337557.51416122,675854.3311513517,92600.0,831000.0,1150000.0,1620000.0,4815000.0
97,house,200,2018,446.0,1145479.7869955157,538288.1057982071,480000.0,791975.0,937500.0,1367250.0,4255000.0
98,house,200,2019,528.0,1177461.5303030303,628830.2221463843,470000.0,774375.0,920500.0,1420000.0,7850000.0
99,house,200,2020,983.0,1132254.9298067142,563621.0183132442,393325.0,780000.0,885000.0,1363750.0,4500000.0
100,house,200,2021,1376.0,1433210.6976744186,740367.075683302,1120.0,940000.0,1179500.0,1700000.0,6100000.0
101,house,200,2022,458.0,1508230.1419213973,741184.8400122485,597000.0,1125000.0,1297950.0,1695000.0,7525000.0
102,house,400,2003,0.0,,,,,,,
103,house,400,2004,3.0,450333.3333333333,28378.395538390352,425000.0,435000.0,445000.0,463000.0,481000.0
104,house,400,2005,3.0,392500.0,27041.63456597992,362500.0,381250.0,400000.0,407500.0,415000.0
105,house,400,2006,2.0,404000.0,8485.28137423857,398000.0,401000.0,404000.0,407000.0,410000.0
106,house,400,2007,9.0,840333.3333333334,227517.58173820327,535000.0,800000.0,826000.0,880000.0,1352000.0
107,house,400,2008,31.0,709948.0,333792.2399097978,307000.0,462500.0,651388.0,872500.0,1600000.0
108,house,400,2009,95.0,910307.9052631579,447969.34984752047,420000.0,600000.0,815000.0,1015000.0,2600000.0
109,house,400,2010,86.0,1025077.4418604651,591133.0102124145,395000.0,620500.0,840000.0,1295000.0,4000000.0
110,house,400,2011,85.0,994767.6470588235,424512.6719115054,447000.0,650000.0,870000.0,1250000.0,2350000.0
111,house,400,2012,170.0,884747.8235294118,403071.6994383683,402500.0,610000.0,780000.0,1024500.0,2200000.0
112,house,400,2013,230.0,962085.547826087,417694.44592494366,275000.0,690450.0,820000.0,1090000.0,2915000.0
